District	Name	Party	DC Office	DC Voice	District Voice	Electronic Correspondence	Web
NY05	Gary Ackerman	D	2211 Rayburn House Office Building	202-225-2601	718-423-2154	https://ackerman-forms.house.gov/contact-gary	http://ackerman.house.gov/index.html
NY06	Gregory W. Meeks	D	2234 Rayburn House Office Building	202-225-3461	718-327-9791	https://meeks.house.gov/contact-me/email-me	http://meeks.house.gov/
NY07	Joseph Crowley	D	2404 Rayburn House Office Building	202-225-3965	718-779-1400	https://crowley.house.gov/contact-me/email-me	http://crowley.house.gov/
NY08	Jerrold Nadler	D	2334 Rayburn House Office Building	202-225-5635	718-373-3198	https://jerroldnadler.house.gov/Forms/WriteYourRep/default.aspx	http://nadler.house.gov/
NY09	Bob Turner	R	2104 Rayburn House Office Building	202-225-6616	718-426-5000	https://bobturner.house.gov/contact-me/email-me	http://bobturner.house.gov/
NY10	Edolphus (Ed) Towns	D	2232 Rayburn House Office Building	202-225-5936	718-855-8018	https://towns.house.gov/contact-me/email-me	http://towns.house.gov/
NY11	Yvette D. Clarke	D	1029 Longworth House Office Building	202-225-6231	718-287-1142	http://clarke.house.gov/Contact/	http://clarke.house.gov/
NY12	Nydia M. Velazquez	D	2302 Rayburn House Office Building	202-225-2361	718-599-3658	http://velazquez.house.gov/IMA/issue_subscribe.shtml	http://velazquez.house.gov/index.shtml
NY13	Michael Grimm	R	512 Cannon House Office Building	202-225-3371	718-351-1062	https://grimm.house.gov/contact-me/email-me	http://grimm.house.gov/
NY14	Carolyn B. Maloney	D	2332 Rayburn House Office Building	202-225-7944	212-860-0606	https://maloney.house.gov/contact-me/email-me	http://maloney.house.gov/
NY15	Charles B. Rangel	D	2354 Rayburn House Office Building	202-225-4365	212-663-3900	https://rangel.house.gov/contact/email-me.shtml	http://rangel.house.gov/
NY16	Jose E. Serrano	D	2227 Rayburn House Office Building	202-225-4361	718-620-0084	https://serrano.house.gov/contact-me/email-me	http://serrano.house.gov/
NY17	Eliot L. Engel	D	2161 Rayburn House Office Building	202-225-2464	718-796-9700	http://engel.house.gov/index.cfm?sectionid=169&sectiontree=3169	http://engel.house.gov/index.html
NY18	Nita M. Lowey	D	2365 Rayburn House Office Building	202-225-6506	914-428-1707	https://lowey.house.gov/contact-form	http://lowey.house.gov/index.html
NY19	Nan A. S. Hayworth	R	1440 Longworth House Office Building	202-225-5441	854-206-4000	https://hayworthforms.house.gov/contact	http://hayworth.house.gov/
NY20	Chris Gibson	R	502 Cannon House Office Building	202-225-5614	518-743-0964	http://gibson.house.gov/Contact/	http://gibson.house.gov/
NY21	Paul D. Tonko	D	422 Cannon House Office Building	202-225-5076	518-374-4547	http://tonko.house.gov/index.cfm?sectionid=224&sectiontree=3224	http://tonko.house.gov/
NY22	Maurice D. Hinchey	D	2431 Rayburn House Office Building	202-225-6335	607-273-1388	https://forms.house.gov/hinchey/webforms/zip_auth.shtm	http://hinchey.house.gov/
NY23	Bill Owens	D	431 Cannon House Office Building	202-225-4611	518-563-1406	https://owens.house.gov/Contact/default.aspx	http://owens.house.gov/
NY24	Richard L. Hanna	R	319 Cannon House Office Building	202-225-3665	315-252-6700	https://forms.house.gov/hanna/webforms/zipauthen_contact.shtml	http://hanna.house.gov/
NY25	Ann Marie Buerkle	R	1630 Longworth House Office Building	202-225-3701	585-336-7291	https://buerkle.house.gov/contact-me/email-me	http://buerkle.house.gov/
NY26	Kathy Hochul	D	1711 Longworth House Office Building	202-225-5265	716-634-2324	https://hochul.house.gov/contact-me	http://hochul.house.gov/
NY27	Brian Higgins	D	2459 Rayburn House Office Building	202-225-3306	716-852-3501	http://higgins.house.gov/contact/email-me.shtml	http://higgins.house.gov/
NY28	Louise M. Slaughter	D	2469 Rayburn House Office Building	202-225-3615	716-282-1274	https://forms.house.gov/slaughter/webforms/zip_auth.shtm	http://www.louise.house.gov/
NY29	Tom Reed	R	1037 Longworth House Office Building	202-225-3161	585-218-0040	https://reed.house.gov/contact-me/email-me	http://reed.house.gov/
OHSR	Sherrod Brown	D	713 Hart Senate Office Building	202-224-2315	513-684-1021	http://www.brown.senate.gov/contact	http://www.brown.senate.gov/
OHJR	Rob Portman	R	338 Russell Senate Office Building	202-224-3353	614-469-6774	http://portman.senate.gov/public/index.cfm/contact-form	http://portman.senate.gov/public/
OH01	Steve Chabot	R	2351 Rayburn House Office Building	202-225-2216	513-684-2723	https://chabotforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://chabot.house.gov/index.html
OH02	Jean Schmidt	R	2464 Rayburn House Office Building	202-225-3164	513-791-0381	http://www.house.gov/schmidt/contact.shtml	http://www.house.gov/schmidt/
OH03	Michael R. Turner	R	2454 Longworth House Office Building	202-225-6465	937-383-8931	http://turner.house.gov/Contact/	http://turner.house.gov/
OH04	Jim Jordan	R	1524 Longworth House Office Building	202-225-2676	419-522-5757	http://jordan.house.gov/Contact/	http://jordan.house.gov/
OH05	Bob Latta	R	1323 Longworth House Office Building	202-225-6405	419-354-8700	http://latta.house.gov/Contact/	http://latta.house.gov/
OH06	Bill Johnson	R	317 Cannon House Office Building	202-225-5705	740-376-0868	http://billjohnson.house.gov/Contact/	http://billjohnson.house.gov/
OH07	Steve Austria	R	439 Cannon House Office Building	202-225-4324	740-654-5149	https://austriaforms.house.gov/index.cfm?sectionid=7&sectiontree=47	http://austria.house.gov/index.html
OH08	John A. Boehner	R	1011 Longworth House Office Building	202-225-6205	513-779-5400	http://johnboehner.house.gov/Contact/	http://johnboehner.house.gov/
OH09	Marcy Kaptur	D	2186 Rayburn House Office Building	202-225-4146	419-259-7500	https://forms.house.gov/kaptur/webforms/issue_subscribe.htm	http://www.kaptur.house.gov/
OH10	Dennis J. Kucinich	D	2445 Rayburn House Office Building	202-225-5871	216-228-8850	http://kucinich.house.gov/Contact/Starter.htm	http://kucinich.house.gov/
OH11	Marcia L. Fudge	D	1019 Longworth House Office Building	202-225-7032	216-522-4900	https://fudgeforms.house.gov/index.cfm?sectionid=214&sectiontree=204214	http://fudge.house.gov/
OH12	Patrick J. Tiberi	R	106 Cannon House Office Building	202-225-5355	614-523-2555	https://writerep.house.gov/writerep/welcome.shtml	http://tiberi.house.gov/
OH13	Betty Sutton	D	1519 Longworth House Office Building	202-225-3401	440-245-5350	https://sutton.house.gov/index.cfm?sectionid=79&sectiontree=479	http://sutton.house.gov/
OH14	Steven C. LaTourette	R	2371 Rayburn House Office Building	202-225-5731	800-447-0529	http://latourette.house.gov/contact/contact-form.aspx	http://latourette.house.gov/
OH15	Steve Stivers	R	1007 Longworth House Office Building	202-225-2015	614-771-4968	http://stivers.house.gov/Contact/	http://stivers.house.gov/
OH16	James B. Renacci	R	130 Cannon House Office Building	202-225-3876	330-489-4414	https://renacciforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://renacci.house.gov/
OH17	Tim Ryan	D	1421 Longworth House Office Building	202-225-5261	330-740-0193	https://timryan.house.gov/contact-me/email-me	http://timryan.house.gov/
OH18	Bob Gibbs	R	329 Cannon House Office Building	202-225-6265	740-452-2279	https://gibbs.house.gov/contact-me/email-me	http://gibbs.house.gov/
OKSR	James M. Inhofe	R	205 Russell Senate Office Building	202-224-4721	918-426-0933	http://www.inhofe.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm	http://inhofe.senate.gov/public/
OKJR	Tom Coburn	R	172 Russell Senate Office Building	202-224-5754	405-231-4941	http://www.coburn.senate.gov/public/index.cfm/?p=ContactForm	http://www.coburn.senate.gov/public/index.cfm/home
OK01	John Sullivan	R	434 Cannon House Office Building	202-225-2211	918-336-6500	http://sullivan.house.gov/Contact/ZipCheck.htm	http://sullivan.house.gov/
OK02	Dan Boren	D	2447 Rayburn House Office Building	202-225-2701	580-931-0333	http://boren.house.gov/emailsignup.shtml	http://boren.house.gov/
OK03	Frank Lucas	R	2311 Rayburn House Office Building	202-225-5565	405-373-1958	https://lucas.house.gov/contact-me/email-me	http://lucas.house.gov/
OK04	Tom Cole	R	2458 Rayburn House Office Building	202-225-6165	580-436-5375	https://coleforms.house.gov/Contact/	http://www.cole.house.gov/
OK05	James Lankford	R	509 Cannon House Office Building	202-225-2132	405-234-9900	https://forms.house.gov/lankford/webforms/zipauthen_contact.shtml	http://lankford.house.gov/
ORSR	Ron Wyden	D	221 Dirksen Senate Office Building	202-224-5244	503-326-7525	http://www.wyden.senate.gov/contact/	http://www.wyden.senate.gov/
ORJR	Jeff Merkley	D	313 Hart Senate Office Building	202-224-3753	503-326-3386	http://www.merkley.senate.gov/contact/	http://www.merkley.senate.gov/
OR01	Suzanne Bonamici	D	2338 Rayburn House Office Building	202-225-0855	800-422-4003	https://bonamici.house.gov/contact-me/email-me	http://bonamici.house.gov/
OR02	Greg Walden	R	2182 Rayburn House Office Building	202-225-6730	800-533-3303	https://walden.house.gov/index.cfm?sectionid=117&sectiontree=7117	http://walden.house.gov/
OR03	Earl Blumenauer	D	1502 Longworth House Office Building	202-225-4811	503-231-2300	https://forms.house.gov/blumenauer/webforms/issue_subscribe.html	http://blumenauer.house.gov/
OR04	Peter A. DeFazio	D	2134 Rayburn House Office Building	202-225-6416	541-440-3523	https://forms.house.gov/defazio/IMA/contact.html	http://www.defazio.house.gov/
OR05	Kurt Schrader	D	314 Cannon House Office Building	202-225-5711	503-557-1324	http://schrader.house.gov/index.cfm?sectionid=81	http://schrader.house.gov/index.html
PASR	Robert P. Casey, Jr.	D	393 Russell Senate Office Building	202-224-6324	412-803-7370	http://www.casey.senate.gov/contact/	http://www.casey.senate.gov/
PAJR	Pat Toomey	R	502 Hart Senate Office Building	202-224-4254	610-434-1444	http://www.toomey.senate.gov/?p=contact	http://www.toomey.senate.gov/
PA01	Robert A. Brady	D	102 Cannon House Office Building	202-225-4731	610-874-7094	https://brady.house.gov/contact-me/email-me	http://brady.house.gov/
PA02	Chaka Fattah	D	2301 Rayburn House Office Building	202-225-4001	215-871-4455	https://fattahforms.house.gov/index.cfm?sectionid=244&sectiontree=244	http://fattah.house.gov/index.html
PA03	Mike Kelly	R	515 Cannon House Office Building	202-225-5406	814-454-8190	https://kelly.house.gov/contact-me/email-me	http://kelly.house.gov/
PA04	Jason Altmire	D	332 Cannon House Office Building	202-225-2565	724-226-1304	https://forms.house.gov/altmire/webforms/issue_subscribe.htm	http://www.altmire.house.gov/
PA05	Glenn (GT) Thompson	R	124 Cannon House Office Building	202-225-5121	814-827-3985	https://thompson.house.gov/contact-me/email-me	http://thompson.house.gov/
PA06	Jim Gerlach	R	2442 Rayburn House Office Building	202-225-4315	610-409-2780	https://writerep.house.gov/writerep/welcome.shtml	http://gerlach.house.gov/
PA07	Patrick Meehan	R	513 Cannon House Office Building	202-225-2011	610-690-7323	https://meehanforms.house.gov/email-me	http://meehan.house.gov/
PA08	Mike Fitzpatrick	R	1224 Longworth House Office Building	202-225-4276	215-579-8102	https://fitzpatrick.house.gov/contact-me/email-me	http://fitzpatrick.house.gov/
PA09	Bill Shuster	R	204 Cannon House Office Building	202-225-2431	814-443-3918	https://shusterforms.house.gov/contact-form	http://shuster.house.gov/
PA10	Tom Marino	R	410 Cannon House Office Building	202-225-3731	570-322-3961	https://marino.house.gov/contact-me/email-me	http://marino.house.gov/
PA11	Louis J. (Lou) Barletta	R	510 Cannon House Office Building	202-225-6511	570-751-0050	https://barletta.house.gov/index.cfm?sectionid=58&sectiontree=258	http://barletta.house.gov/index.html
PA12	Mark S. Critz	D	1022 Longworth House Office Building	202-225-2065	800-289-2642	https://critz.house.gov/contact/email-me.shtml	http://critz.house.gov/
PA13	Allyson Y. Schwartz	D	1227 Longworth House Office Building	202-225-6111	215-517-6572	http://schwartz.house.gov/issue_subscribe.shtml	http://schwartz.house.gov/
PA14	Mike Doyle	D	401 Cannon House Office Building	202-225-2135	412-241-6055	https://doyle.house.gov/contact/email-me.shtml	http://doyle.house.gov/
PA15	Charlie Dent	R	1009 Longworth House Office Building	202-225-6411	610-770-3490	https://dent.house.gov/?p=ContactForm	http://dent.house.gov/
PA16	Joe Pitts	R	420 Cannon House Office Building	202-225-2411	717-393-0667	https://pitts.house.gov/contact-me/legislative-contact-form	http://pitts.house.gov/
PA17	Tim Holden	D	2417 Rayburn House Office Building	202-225-5546	717-234-5904	https://holden.house.gov/contact-me/email-me	http://holden.house.gov/
PA18	Tim Murphy	R	322 Cannon House Office Building	202-225-2301	724-850-7312	https://murphyforms.house.gov/index.cfm?sectionid=157	http://murphy.house.gov/index.html
PA19	Todd Russell Platts	R	2455 Rayburn House Office Building	202-225-5836	717-249-0190	http://www.house.gov/platts/email.shtml	http://www.house.gov/platts/
PR00	Pedro Pierluisi	D	1218 Longworth House Office Building	202-225-2615	787-723-6333	http://pierluisi.house.gov/english/contact-us.html	http://pierluisi.house.gov/
RISR	Jack Reed	D	728 Hart Senate Office Building	202-224-4642	401-528-5200	http://www.reed.senate.gov/contact/	http://www.reed.senate.gov/
RIJR	Sheldon Whitehouse	D	717 Hart Senate Office Building	202-224-2921	401-453-5294	http://www.whitehouse.senate.gov/contact/	http://www.whitehouse.senate.gov/
RI01	David Cicilline	D	128 Cannon House Office Building	202-225-4911	401-729-5600	https://cicilline.house.gov/contact-me/email-me	http://cicilline.house.gov/
RI02	Jim Langevin	D	109 Cannon House Office Building	202-225-2735	401-732-9400	https://langevin.house.gov/contact/email-me.shtml	http://langevin.house.gov/
SCSR	Lindsey Graham	R	290 Russell Senate Office Building	202-224-5972	803-366-2828	http://lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham	http://lgraham.senate.gov/public/
SCJR	Jim DeMint	R	167 Russell Senate Office Building	202-224-6121	843-727-4525	http://www.demint.senate.gov/public/index.cfm?p=CommentOnLegislationIssues	http://www.demint.senate.gov/public/index.cfm?p=Home
SC01	Tim Scott	R	1117 Longworth House Office Building	202-225-3176	843-852-2222	http://timscott.house.gov/Contact/	http://timscott.house.gov/
SC02	Joe Wilson	R	2229 Rayburn House Office Building	202-225-2452	843-521-2530	https://joewilsonforms.house.gov/Forms/WriteYourRep/default.aspx	http://www.joewilson.house.gov/
SC03	Jeff Duncan	R	116 Cannon House Office Building	202-225-5301	803-649-5571	https://jeffduncan.house.gov/contact-me/email-me	http://jeffduncan.house.gov/
SC04	Trey Gowdy	R	1237 Longworth House Office Building	202-225-6030	864-241-0175	http://gowdy.house.gov/Contact/	http://gowdy.house.gov/
SC05	Mick Mulvaney	R	1004 Longworth House Office Building	202-225-5501	803-327-1114	https://forms.house.gov/mulvaney/webforms/zipauthen_contact.shtml	http://mulvaney.house.gov/
SC06	James E. Clyburn	D	2135 Rayburn House Office Building	202-225-3315	803-854-4700	https://forms.house.gov/clyburn/zipauth.shtml	http://clyburn.house.gov/
SDSR	Tim Johnson	D	136 Hart Senate Office Building	202-224-5842	605-332-8896	http://www.johnson.senate.gov/public/index.cfm?p=ContactForm	http://www.johnson.senate.gov/public/
SDJR	John Thune	R	511 Dirksen Senate Office Building	202-224-2321	605-348-7551	http://www.thune.senate.gov/public/index.cfm/contact	http://www.thune.senate.gov/public/index.cfm/
SD00	Kristi Noem	R	226 Cannon House Office Building	202-225-2801	605-275-2868	http://noem.house.gov/index.cfm/email-kristi	http://noem.house.gov/
TNSR	Lamar Alexander	R	455 Dirksen Senate Office Building	202-224-4944	423-752-5337	http://www.alexander.senate.gov/public/index.cfm?p=OfficeLocations	http://www.alexander.senate.gov/public/index.cfm
TNJR	Bob Corker	R	185 Dirksen Senate Office Building	202-224-3344	423-323-1252	https://www.corker.senate.gov/public/index.cfm?p=ContactMe	http://www.corker.senate.gov/public/
TN01	Phil Roe	R	419 Cannon House Office Building	202-225-6356	423-254-1400	http://www.roe.house.gov/Contact/	http://www.roe.house.gov/
TN02	John J. Duncan, Jr.	R	2207 Rayburn House Office Building	202-225-5435	865-523-3772	http://duncan.house.gov/services/zip-auth.shtml	http://duncan.house.gov/
TN03	Chuck Fleischmann	R	511 Cannon House Office Building	202-225-3271	423-756-2342	https://fleischmann.house.gov/contact-me/email-me	http://fleischmann.house.gov/
TN04	Scott DesJarlais	R	413 Cannon House Office Building	202-225-6831	931-381-9920	http://desjarlais.house.gov/Contact/	http://desjarlais.house.gov/
TN05	Jim Cooper	D	1536 Longworth House Office Building	202-225-4311	615-736-5295	https://forms.house.gov/cooper/webforms/issue_subscribe.html	http://cooper.house.gov/
TN06	Diane Black	R	1531 Longworth House Office Building	202-225-4231	615-896-1986	https://black.house.gov/contact-me/email-me	http://black.house.gov/
TN07	Marsha Blackburn	R	217 Cannon House Office Building	202-225-2811	615-591-5161	https://blackburnforms.house.gov/contactform/default.aspx	http://blackburn.house.gov/
TN08	Stephen Fincher	R	1118 Longworth House Office Building	202-225-4714	731-423-4848	https://fincher.house.gov/contact-me/email-me	http://fincher.house.gov/
TN09	Steve Cohen	D	1005 Longworth House Office Building	202-225-3265	901-544-4131	https://cohenforms.house.gov/Forms/WriteYourRep/	http://cohen.house.gov/
TXSR	Kay Bailey Hutchison	R	284 Russell Senate Office Building	202-224-5922	210-340-2885	http://hutchison.senate.gov/?p=email_kay	http://hutchison.senate.gov/
TXJR	John Cornyn	R	517 Hart Senate Office Building	202-224-2934	972-239-1310	http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm	http://www.cornyn.senate.gov/public/index.cfm?p=Home
TX01	Louie Gohmert	R	2440 Rayburn House Office Building	202-225-3035	903-236-8597	http://gohmert.house.gov/Contact/	http://gohmert.house.gov/
TX02	Ted Poe	R	430 Cannon House Office Building	202-225-6565	409-212-1997	https://forms.house.gov/poe/webforms/zipauthen_contact.shtml	http://poe.house.gov/
TX03	Sam Johnson	R	1211 Longworth House Office Building	202-225-4201	972-470-0892	http://www.samjohnson.house.gov/Contact/	http://www.samjohnson.house.gov/
TX04	Ralph M. Hall	R	2405 Rayburn House Office Building	202-225-6673	903-628-8309	http://writerep.house.gov/writerep/welcome.shtml	http://ralphhall.house.gov/index.html
TX05	Jeb Hensarling	R	129 Cannon House Office Building	202-225-3484	214-349-9996	https://hensarling.house.gov/contact/email-me.shtml	http://hensarling.house.gov/
TX06	Joe Barton	R	2109 Rayburn House Office Building	202-225-2002	936-544-8488	https://forms.house.gov/barton/webforms/zip_authen.html	http://joebarton.house.gov/
TX07	John Culberson	R	2352 Rayburn House Office Building	202-225-2571	713-682-8828	http://culbersonforms.house.gov/Contact/ZipAuth.htm	http://culberson.house.gov/
TX08	Kevin Brady	R	301 Cannon House Office Building	202-225-4901	409-883-4197	https://kevinbradyforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://kevinbrady.house.gov/
TX09	Al Green	D	2201 Rayburn House Office Building	202-225-7508	713-383-9234	https://algreen.house.gov/contact-me/email-me	http://algreen.house.gov/
TX10	Michael McCaul	R	131 Cannon House Office Building	202-225-2401	281-255-8372	http://mccaul.house.gov/index.cfm?sectionid=133&sectiontree=3133	http://mccaul.house.gov/index.html
TX11	Mike Conaway	R	2430 Rayburn House Office Building	202-225-3605	432-687-2390	http://conaway.house.gov/contact/	http://conaway.house.gov/
TX12	Kay Granger	R	320 Cannon House Office Building	202-225-5071	817-338-0909	http://kaygranger.house.gov/contact-kay/email-me	http://kaygranger.house.gov/
TX13	Mac Thornberry	R	2209 Rayburn House Office Building	202-225-3706	806-371-8844	http://thornberry.house.gov/Contact/	http://www.thornberry.house.gov/
TX14	Ron Paul	R	203 Cannon House Office Building	202-225-2831	361-576-1231	https://forms.house.gov/paul/webforms/issue_subscribe.html	http://paul.house.gov/
TX15	Ruben Hinojosa	D	2262 Rayburn House Office Building	202-225-2531	956-682-5545	https://hinojosa.house.gov/contact-me/email-me	http://hinojosa.house.gov/
TX16	Silvestre Reyes	D	2210 Rayburn House Office Building	202-225-4831	915-534-4400	http://reyes.house.gov/Contact/vyo.htm	http://reyes.house.gov/
TX17	Bill Flores	R	1505 Longworth House Office Building	202-225-6105	979-703-4037	http://flores.house.gov/index.cfm?sectionid=58&sectiontree=358	http://flores.house.gov/
TX18	Sheila Jackson Lee	D	2160 Rayburn House Office Building	202-225-3816	713-655-0050	http://www.jacksonlee.house.gov/Contact/	http://www.jacksonlee.house.gov/
TX19	Randy Neugebauer	R	1424 Longworth House Office Building	202-225-4005	432-264-0722	https://randyforms.house.gov/index.cfm?sectionid=172	http://www.randy.house.gov/index.html
TX20	Charles A. Gonzalez	D	1436 Longworth House Office Building	202-225-3236	210-472-6195	http://forms.house.gov/gonzalez/webforms/issue_subscribe.htm	http://www.gonzalez.house.gov/
TX21	Lamar Smith	R	2409 Rayburn House Office Building	202-225-4236	210-821-5024	http://lamarsmith.house.gov/Contact/	http://lamarsmith.house.gov/
TX22	Pete Olson	R	312 Cannon House Office Building	202-225-5951	281-494-2690	https://olsonforms.house.gov/index.cfm?sectionid=162	http://olson.house.gov/index.html
TX23	Francisco R. (Quico) Canseco	R	1339 Longworth House Office Building	202-225-4511	210-922-7826	http://franciscocanseco.house.gov/contact/	http://canseco.house.gov/
TX24	Kenny Marchant	R	1110 Longworth House Office Building	202-225-6605	972-556-0162	https://marchant.house.gov/Contact/	http://marchant.house.gov/
TX25	Lloyd Doggett	D	201 Cannon House Office Building	202-225-4865	512-916-5921	http://forms.house.gov/doggett/webforms/issue_subscribe.htm	http://doggett.house.gov/
TX26	Michael C. Burgess	R	2241 Rayburn House Office Building	202-225-7772	972-434-9700	https://writerep.house.gov/writerep/welcome.shtml	http://burgess.house.gov/
TX27	Blake Farenthold	R	2110 Rayburn House Office Building	202-225-7742	956-544-8800	https://forms.house.gov/farenthold/webforms/zipauthen_contact.shtml	http://farenthold.house.gov
TX28	Henry Cuellar	D	2463 Rayburn House Office Building	202-225-1640	956-487-5603	http://cuellar.house.gov/Contact/SendMeAnEmail.htm	http://cuellar.house.gov/
TX29	Gene Green	D	2470 Rayburn House Office Building	202-225-1688	713-330-0761	https://green.house.gov/contact-me/email-me	http://green.house.gov/
TX30	Eddie Bernice Johnson	D	2468 Rayburn House Office Building	202-225-8885	214-922-8885	https://ebjohnsonforms.house.gov/index.cfm?sectionid=85	http://ebjohnson.house.gov/index.html
TX31	John R. Carter	R	409 Cannon House Office Building	202-225-3864	512-246-1600	https://carterforms.house.gov/index.cfm?sectionid=139&sectiontree=139	http://carter.house.gov/index.html
TX32	Pete Sessions	R	2233 Rayburn House Office Building	202-225-2231	972-392-0505	https://sessions.house.gov/index.cfm/contact-form	http://sessions.house.gov/
UTSR	Orrin G. Hatch	R	104 Hart Senate Office Building	202-224-5251	801-625-5672	http://hatch.senate.gov/public/index.cfm/email-orrin	http://hatch.senate.gov/public/index.cfm/
UTJR	Mike Lee	R	316 Hart Senate Office Building	202-224-5444	801-524-5933	http://www.lee.senate.gov/public/index.cfm/contact-senator-lee?p=contact	http://www.lee.senate.gov/public/
UT01	Rob Bishop	R	123 Cannon House Office Building	202-225-0453	801-625-0107	http://robbishop.house.gov/Contact/ZipAuth.htm	http://robbishop.house.gov/
UT02	Jim Matheson	D	2434 Rayburn House Office Building	202-225-3011	435-627-0880	https://mathesonforms.house.gov/contact-form#dialog	http://matheson.house.gov/
UT03	Jason Chaffetz	R	1032 Longworth House Office Building	202-225-7751	801-851-2500	https://chaffetz.house.gov/contact-me/email-me	http://chaffetz.house.gov/
VASR	Jim Webb	D	248 Russell Senate Office Building	202-224-4024	804-771-2221	http://webb.senate.gov/contact.cfm	http://webb.senate.gov/
VAJR	Mark R. Warner	D	475 Russell Senate Office Building	202-224-2023	703-442-0670	http://www.warner.senate.gov/public//index.cfm?p=ContactPage	http://www.warner.senate.gov/public/
VA01	Rob Wittman	R	1317 Longworth House Office Building	202-225-4261	757-874-6687	https://forms.house.gov/wittman/webforms/webforms/issue_subscribe.htm	http://www.wittman.house.gov/
VA02	Scott Rigell	R	327 Cannon House Office Building	202-225-4215	757-687-8290	http://rigell.house.gov/Contact/	http://rigell.house.gov/
VA03	Bobby Scott	D	1201 Longworth House Office Building	202-225-8351	757-380-1000	https://writerep.house.gov/writerep/welcome.shtml	http://bobbyscott.house.gov
VA04	J. Randy Forbes	R	2438 Rayburn House Office Building	202-225-6365	757-382-0080	http://randyforbes.house.gov/Contact/ZipAuth.htm	http://randyforbes.house.gov/
VA05	Robert Hurt	R	1516 Longworth House Office Building	202-225-4711	434-791-2596	https://hurt.house.gov/index.cfm/email-me	http://hurt.house.gov/
VA06	Bob Goodlatte	R	2240 Rayburn House Office Building	202-225-5431	540-885-3861	http://goodlatte.house.gov/contacts/new	http://goodlatte.house.gov/
VA07	Eric Cantor	R	303 Cannon House Office Building	202-225-2815	804-747-4073	http://cantor.house.gov/contact/	http://cantor.house.gov/
VA08	Jim Moran	D	2239 Rayburn House Office Building	202-225-4376	703-971-4700	https://moran.house.gov/contact-me/email-me	http://moran.house.gov/index.shtml
VA09	Morgan Griffith	R	1108 Longworth House Office Building	202-225-3861	276-525-1405	http://morgangriffith.house.gov/Contact/	http://morgangriffith.house.gov/
VA10	Frank R. Wolf	R	241 Cannon House Office Building	202-225-5136	800-850-3463	https://wolfforms.house.gov/index.cfm?sectionid=383	http://www.wolf.house.gov/index.html
VA11	Gerald E. (Gerry) Connolly	D	424 Cannon House Office Building	202-225-1492	703-670-4989	https://connollyforms.house.gov/index.cfm?sectionid=132&sectiontree=3132	http://gerryconnolly.house.gov/index.html
VI00	Donna M. Christensen	D	1510 Longworth House Office Building	202-225-1790	340-778-5900	https://donnachristensen.house.gov/contact-me/email-me	http://donnachristensen.house.gov/
VTSR	Patrick Leahy	D	437 Russell Senate Office Building	202-224-4242	800-642-3193	http://www.leahy.senate.gov/contact/	http://www.leahy.senate.gov/
VTJR	Bernie Sanders	I	332 Dirksen Senate Office Building	202-224-5141	802-254-8732	http://www.sanders.senate.gov/contact/contact.cfm	http://www.sanders.senate.gov/
VT00	Peter Welch	D	1404 Longworth House Office Building	202-225-4115	802-652-2450	http://www.house.gov/formwelch/issue_subscribe.htm	http://www.welch.house.gov/
WASR	Patty Murray	D	448 Russell Senate Office Building	202-224-2621	360-696-7797	http://www.murray.senate.gov/public/index.cfm/contactme	http://www.murray.senate.gov/public/
WAJR	Maria Cantwell	D	311 Hart Senate Office Building	202-224-3441	206-220-6400	http://cantwell.senate.gov/contact/index.cfm	http://cantwell.senate.gov/
WA01	Vacant		2329 Rayburn House Office Building	202-225-6311	206-361-0233	N/A	N/A
WA02	Rick Larsen	D	108 Cannon House Office Building	202-225-2605	360-733-4500	https://larsen.house.gov/contact/email-me.shtml	http://larsen.house.gov/
WA03	Jaime Herrera Beutler	R	1130 Longworth House Office Building	202-225-3536	360-695-6292	http://herrerabeutler.house.gov/Contact/	http://herrerabeutler.house.gov/
WA04	Doc Hastings	R	1203 Longworth House Office Building	202-225-5816	509-452-3243	http://hastings.house.gov/Contact/	http://hastings.house.gov/
WA05	Cathy McMorris Rodgers	R	2421 Rayburn House Office Building	202-225-2006	509-684-3481	https://mcmorrisforms.house.gov/index.cfm?sectionid=435&sectiontree=4435	http://mcmorris.house.gov
WA06	Norm Dicks	D	2467 Rayburn House Office Building	202-225-5916	360-479-4011	http://www.house.gov/dicks/newemail.shtml	http://www.house.gov/dicks/
WA07	Jim McDermott	D	1035 Longworth House Office Building	202-225-3106	206-553-7170	https://forms.house.gov/mcdermott/webforms/new/contact.shtml	http://mcdermott.house.gov/
WA08	Dave Reichert	R	1730 Longworth House Office Building	202-225-7761	425-677-7414	http://reichert.house.gov/Contact/ZipAuth.htm	http://reichert.house.gov/
WA09	Adam Smith	D	2402 Rayburn House Office Building	202-225-8901	253-593-6600	http://adamsmith.house.gov/Contact/	http://adamsmith.house.gov/
WISR	Herb Kohl	D	330 Hart Senate Office Building	202-224-5653	715-832-8424	http://www.kohl.senate.gov/contact.cfm	http://www.kohl.senate.gov/
